"id_display","category","question","correct_answer","created_at"
"24","airports","Quel est le principal aéroport de la ville de Tokyo ?","Aéroport de Haneda","2024-08-14T11:48:44.252+00:00"
"26","aircrafts","Quel est le nom de l'avion supersonique ultra-silencieux développé par la Nasa & Lockeed Martin?","le X-59 QuessT","2024-08-12T21:00:37.338+00:00"
"27","history","Quel était le surnom de Charles Lindbergh?","L’aigle solitaire","2024-08-09T21:48:18.861+00:00"
"29","network","Quelle est la durée d'un Vol Paris-La Réunion ?","11h","2024-08-07T20:48:22.642+00:00"
"30","history","En quelle année Thomas Pesquet a t-il intégré les cadets d'air france ?","2004","2024-08-07T20:48:22.642+00:00"
"31","theory","L'atmosphère est composée en majorité de :","N2","2024-08-07T20:48:22.642+00:00"
"32","history","Quel est le premier avion commercial entièrement conçu en utilisant la technologie du fly-by-wire ?","Airbus A320","2024-08-07T19:58:39.21+00:00"
"34","geography","Quelle ville est le plus au nord?","Saint Petersbourg","2024-08-07T14:26:10.589+00:00"
"35","history","Comment s'appelait le pilote d'essai du Concorde ?","André Turcat","2024-08-05T18:50:08.433+00:00"
"3451","military","Lequel de ces avions n'est pas capable du vol supersonique ?","Harrier","2025-08-28T19:28:00.651+00:00"
"3465","theory","Pour un anticyclone dans l’hémisphère Sud, les vents s’organisent autour de lui de telle sorte","qu'ils tournent en sens inverse des aiguilles d'une montre","2025-08-29T14:10:38.204+00:00"
"3467","military","Les avions qui se sont affrontés pendant la Seconde Guerre Mondiale sont :","Spitfire et Me109","2025-08-29T14:10:38.204+00:00"
"36","aircrafts","Quelle est l'envergure du BOEING 737-800 ?","35,80 m","2024-08-04T14:09:44.56+00:00"
"37","airline","Quel créateur n’a jamais crée les uniformes d’AF ?","Jean Paul Gautier","2024-08-04T06:54:04.233+00:00"
"38","fleet","Quels moteur équipent l’A220 d’AF?","2 Pratt & Whitney 1500 G","2024-08-04T06:54:04.233+00:00"
"40","theory","Dans un avion de ligne, l’air utilisé pour alimenter la cabine provient :","Des compresseurs","2024-08-01T19:40:28.727+00:00"
"41","military","Quel avion parmi cette liste n'a pas été un avion de la seconde guerre mondiale ?","North American F-100 Super Sabre","2024-07-30T13:30:56.709+00:00"
"42","fleet","En quel année le premier airbus est-il rentré en service au sein d'Air France ?","1974","2024-07-30T13:30:56.709+00:00"
"43","aircrafts","Quel avion n'a pas de système fly-by-wire ?","Boeing 737","2024-07-30T13:30:56.709+00:00"
"44","airline","Quel pourcentage de parts d'Air France détient l'état en 2023 ?","28,6%","2024-07-30T13:30:56.709+00:00"
"45","history","Le premier avion à réaction au monde à avoir été mis en service dans les compagnies aériennes est :","Le De Havilland Comet","2024-07-30T13:30:56.709+00:00"
"46","geography","Quelle est la capitale du Liberia ?","Monrovia","2024-07-30T13:30:56.709+00:00"
"47","geography","Combien de pays partagent une frontière avec la Mongolie ?","2 pays","2024-07-30T13:30:56.709+00:00"
"48","geography","Air France dessert la ville de Raleigh. Dans quel État des États-Unis se trouve cette ville ?","Caroline du Nord","2024-07-30T13:30:56.709+00:00"
"50","history","Le pilote français ayant remporté le plus de victoires aériennes pendant la première guerre mondiale est :","René FONCK","2024-07-30T13:30:56.709+00:00"
"51","history","L'appareil qui réalisa la première liaison PARIS - NEW-YORK sans escale s'appelait :","Le point d'interrogation","2024-07-30T13:30:56.709+00:00"
"52","geography","Quelle est la capitale du Soudan du Sud ?","Djouba","2024-07-30T13:30:56.709+00:00"
"53","network","Combien de distance parcours le vol paris-dubai:","5485km","2024-07-30T13:30:56.709+00:00"
"54","history","Quel est le modèle d'avion impliqué dans le crash Rio/Paris?","A330","2024-07-30T13:30:56.709+00:00"
"56","aircrafts","Combien il y a t-il de roues sur un Airbus A350-900?","Il y en a 10","2024-07-30T13:30:56.709+00:00"
"57","aircrafts","Combien il y a t-il de circuit hydraulique sur un Airbus A320?","Il y a 3 circuits appelés jaune, bleu et vert.","2024-07-30T13:30:56.709+00:00"
"58","history","Quelle femme astronaute eût connu un destin tragique abord de la navette Challenger le 28 Janvier 1986 ?","Judith Resnik","2024-07-30T13:30:56.709+00:00"
"62","history","Le 27 Août 1939, quel a été le premier avion de l'histoire à voler propulsé par un turboréacteur ?","Heinkel He 178","2024-07-30T13:30:56.709+00:00"
"64","theory","Qu'est-ce que le phénomène de mach dans l'aéronautique?","Un effet secondaire de la compression des ondes sonores à proximité de la vitesse du son","2024-07-30T13:30:56.709+00:00"
"3453","theory","Quelle est la vitesse du son au niveau de la mer, dans des conditions standard (ISA) ?","Environ 1235 km/h (≈ 661 kt)","2025-08-28T19:30:21.379+00:00"
"3454","theory","Quel est l’avantage principal des moteurs turbofans par rapport aux turboréacteurs "purs" (turbojets) sur les avions de ligne modernes ?","Ils consomment moins de carburant et sont moins bruyants","2025-08-28T19:30:21.379+00:00"
"3468","theory","A quelle altitude trouve-t-on la tropopause ?","entre 10 500m et 11 000m d'altitude","2025-08-29T14:15:40.858+00:00"
"3469","theory","Dès que l'on s'élève en altitude, la pression atmosphérique diminue, elle décroît de 1 hPa tous les :","28 ft","2025-08-29T14:15:40.86+00:00"
"3470","theory","Comment s'appelle la transformation exothermique qui passe de l'état gazeux à liquide ?","liquéfaction","2025-08-29T14:15:40.86+00:00"
"67","aircrafts","Combien de places y a-t-il dans un B737 ?","189","2024-07-30T13:30:56.709+00:00"
"68","geography","Quelle est la capitale de la Somalie ?","Mogadiscio","2024-07-30T13:30:56.709+00:00"
"69","history","Dans quelle ville a eu lieu le premier vol aérostatique de l'histoire conduite par les frères Montgolfier ?","Versailles","2024-07-30T13:30:56.709+00:00"
"70","geography","Quelle est la capitale de l'Albanie ?","Tirana","2024-07-30T13:30:56.709+00:00"
"71","geography","Combien de fuseaux horaires traversent les États-Unis ?","6","2024-07-30T13:30:56.709+00:00"
"72","history","Quelle compagnie ne faisait pas initialement partie d'Air France lors de sa création en 1933 ?","L'Aéropostale","2024-07-30T13:30:56.709+00:00"
"73","fleet","De combien de sièges dispose un B737-800 de Transavia ?","189 sièges","2024-07-30T13:30:56.709+00:00"
"74","theory","Qu'est-ce que le "point de mach critique" sur un avion ?","Le point où le flux d'air atteint la vitesse du son sur une partie de l'aile","2024-07-30T13:30:56.709+00:00"
"75","history","Quel projet d'avion de ligne supersonique a-t-il été sélectionné par les États-Unis pour concurrencer le Concorde et le Tu-144 ?","Boeing 2707","2024-07-30T13:30:56.709+00:00"
"76","history","En quelle année Boeing a-t-il fusionné avec McDonnel Douglas ?","1997","2024-07-30T13:30:56.709+00:00"
"77","airports","Quel est l'aéroport possédant le plus de pistes au monde ?","O'Hare à Chicago","2024-07-30T13:30:56.709+00:00"
"78","history","Quel aviateur a réalisé le premier tour du monde en solitaire à bord d'un avion en 1933, parcourant environ 25 000 km ?","Wiley Post","2024-07-30T13:30:56.709+00:00"
"79","fleet","Quelles moteurs équipent les A330 d'Air France ?","GE CF6","2024-07-30T13:30:56.709+00:00"
"80","theory","Que signifie l'acronyme EFB dans le domaine de l'aviation ?","Electronic Flight Bag","2024-07-30T13:30:56.709+00:00"
"82","geography","Quelle est la capitale du Bhoutan ?","Thimphou","2024-07-30T13:30:56.709+00:00"
"85","airline","Quelle est la signature publicitaire d'Air France depuis 2022 ?","Faire voler l'élégance toujours plus haut","2024-07-30T13:30:56.709+00:00"
"86","history","Quel jubilaire Air France a fêté en 2023","90 ans","2024-07-30T13:30:56.709+00:00"
"90","theory","Quelle organisation régit les règles et les normes internationales de la navigation aérienne ?","OACI","2024-07-30T13:30:56.708+00:00"
"92","aircrafts","Quel est le rayon d'action de l'A220-300 ?","3400 Nm","2024-07-30T13:30:56.708+00:00"
"93","military","Quel avion militaire est surnommé "Warthog" en raison de son apparence robuste et de sa capacité à encaisser les dommages ?","A-10 Thunderbolt II","2024-07-30T13:30:56.708+00:00"
"94","military","Lequel de ces avions n'est plus utilisé par l'armée française ?","Ouragan","2024-07-30T13:30:56.708+00:00"
"3455","aircrafts","Quel avion porte le surnom "Dreamliner" ?","Boeing 787","2025-08-28T20:01:54.547+00:00"
"3456","theory","Combien y a-t-il de CRNA (Centres en Route de la Navigation Aérienne) en France ?","5","2025-08-28T20:01:54.547+00:00"
"3471","geography","Quel pays ne se trouve pas l'hémisphère sud ?","Yémen","2025-08-29T14:20:44.563+00:00"
"3472","theory","Dans quel sens tournent les dépressions atmosphériques dans l'hémisphère nord ?","Sens anti-horaire uniquement","2025-08-29T14:20:44.563+00:00"
"97","theory","Quel type de nuage est recherché par les velivols?","les cumulus","2024-07-30T13:30:56.708+00:00"
"98","theory","Quel est le principal alliage utilisé dans la construction des cellules d'avions modernes ?","Aluminium","2024-07-30T13:30:56.708+00:00"
"99","aircrafts","Quel avion est surnommé "Dreamliner" ?","Boeing 787","2024-07-30T13:30:56.708+00:00"
"100","history","Quelle femme a été la première pilote brevetée au monde ?","Elisa Deroche","2024-07-30T13:30:56.708+00:00"
"102","airports","Dans quelle ville est situé l'aéroport le plus fréquenté du monde ?","Atlanta","2024-07-30T13:30:56.708+00:00"
"103","history","Quel était le premier avion de ligne à être conçu entièrement sur ordinateur ?","Boeing 777","2024-07-30T13:30:56.708+00:00"
"104","aircrafts","L'avion de ligne commercial le plus rapide au monde aujourd'hui est ?","Boeing 747","2024-07-30T13:30:56.708+00:00"
"105","network","Laquelle de ces capitales est desservie en direct par Air France ?","Abuja","2024-07-30T13:30:56.708+00:00"
"106","network","Parmi ces villes, laquelle n'est pas desservie par Air France par un vol direct ?","Las Vegas","2024-07-30T13:30:56.708+00:00"
"108","history","Quand l'avion des frères Wright, le Flyer, a-t-il effectué son premier vol réussi ?","17 décembre 1903","2024-07-30T13:30:56.708+00:00"
"109","history","Quelle était la date exacte de création d'Air France ?","7 octobre 1933","2024-07-30T13:30:56.708+00:00"
"110","history","la mise au point de l'autogire est dûe à :","Juan de la Cierva en 1928","2024-07-30T13:30:56.708+00:00"
"113","airports","Quelle est la spécificité de la piste de l'aéroport de Madère au Portugal ?","Une partie de la piste est construite sur pilotis","2024-07-30T13:30:56.708+00:00"
"114","theory","En approche sur un terrain non contrôlé, en VFR, laquelle de ces réponses est juste:","Je fais une verticale terrain","2024-07-30T13:30:56.708+00:00"
"116","airline","Quel fut le premier vol du premier A380 d'Air France ?","Paris - New York","2024-07-30T13:30:56.708+00:00"
"117","theory","Que signifie un carré rouge avec 2 diagonales jaunes ?","Interdiction d'atterrir","2024-07-30T13:30:56.708+00:00"
"118","airline","Quel est le principal levier de réduction des émissions de CO2 par Air France ?","Le renouvellement de sa flotte","2024-07-30T13:30:56.708+00:00"
"119","airline","En 2019, combien de millions de tonnes de CO2 Air France a elle rejeté dans l'atmosphère ?","20","2024-07-30T13:30:56.708+00:00"
"120","airline","En quelle année les OMN ont-ils été retirés des cockpits AF ?","2007","2024-07-30T13:30:56.708+00:00"
"122","theory","La pompe à dépression, parfois appelée "pompe à vide", génère un flux d'air qui entraîne :","Les gyroscopes pneumatiques.","2024-07-30T13:30:56.708+00:00"
"123","theory","Qu'est ce que le Jet stream?","Un courant de vent fort à haute altitude d'Ouest en Est","2024-07-30T13:30:56.708+00:00"
"140","history","Qui a construit le premier hydravion ?","Henri Fabre","2024-07-30T13:30:56.708+00:00"
"3475","airports","Code OACI de l'aeroport Shanghaï Pudong ?","ZSPD","2025-08-29T14:54:50.905+00:00"
"3480","theory","Quelle est la principale raison pour laquelle les avions de ligne volent à une altitude si élevée (plus de 10 000 mètres) ?","L'air plus fin à haute altitude permet de réduire la traînée aérodynamique, ce qui améliore le rendement énergétique.","2025-08-29T15:59:36.584+00:00"
"125","history",""Qui est Elisa Deroche ?","La première femme brevetée au monde","2024-07-30T13:30:56.708+00:00"
"127","theory","en atmosphère standard et en dessous de la tropopause, lorsqu'on s'élève de 1000 ft, la température de l'air :","diminue de 2 degrés","2024-07-30T13:30:56.708+00:00"
"128","theory","la formation d'un nuage est associée à :","un phénomène de condensation de la vapeur d'eau","2024-07-30T13:30:56.708+00:00"
"129","military","Pendant la Seconde Guerre mondiale, une escadrille de pilotes français s'illustra sur le front russe. Elle reçut pour nom :","Normandie-Niémen.","2024-07-30T13:30:56.708+00:00"
"130","military","Quel est le plus grand as de la 2nde guerre mondiale ?","Erich Hartmann.","2024-07-30T13:30:56.708+00:00"
"132","history","En quelle année fut mis en service le Boeing 707 ?","1958","2024-07-30T13:30:56.708+00:00"
"3482","military","Quel aviateur a obtenu le plus de victoire pendant la 1ère guerre mondiale ?","René Fonck","2025-08-29T18:59:08.975+00:00"
"134","airline","Quel est l'effectif actuel du personnel naviguant technique à Air France?","4127","2024-07-30T13:30:56.708+00:00"
"135","history","Henri Guillaumet est :","Un pilote de l'Aéropostale.","2024-07-30T13:30:56.708+00:00"
"3481","airline","Comment s'appelle le programme de fidélité d'Air France","FlyingBlue","2025-08-29T15:59:36.584+00:00"
"138","theory","Quelle est la vitesse du son dans l'atmosphère terrestre ?","340 m/s","2024-07-30T13:30:56.708+00:00"
"139","theory","La latitude est la distance exprimée :","en degrés d'un point à l'équateur","2024-07-30T13:30:56.708+00:00"
"142","history","Qui fut l'un des pilotes d'essai du Concorde ?","André Turcat","2024-07-30T13:30:56.708+00:00"
"143","theory","Pour une masse d'air donnée et à incidence fixée, si l'on multiplie par 2 la vitesse de l'air par rapport à un profil, la portance sera multipliée par :","4","2024-07-30T13:30:56.708+00:00"
"144","aircrafts","Lequel de ces moteurs n'est pas installé sur un A319?","PW6000","2024-07-30T13:30:56.708+00:00"
"3491","theory","Les dispositifs hypersustentateurs utilisés sur les avions augmentent :","la portance et la traînée","2025-08-30T08:31:19.088+00:00"
"146","theory","De manière générale, lorsqu'il fait plus froid que les conditions ISA, l'altitude réelle par rapport à l'altitude lu sur l'altimètre est:","Plus basse ==> + haut + chaud + vite / + bas + froid + lent","2024-07-30T13:30:56.708+00:00"
"147","airline","Dans son plan Air France Act, AF s'engage à réduire les émissions de CO2 par rapport à 2019 de :","-30 % d'émissions de CO2 par passager-km d'ici 2030 par rapport à 2019","2024-07-30T13:30:56.708+00:00"
"148","airline","AF a baptisé le 3ème A350 :","Saint Denis de la Réunion","2024-07-30T13:30:56.708+00:00"
"149","aircrafts","L'envergure d'un A350 est la même qu'un :","777-300","2024-07-30T13:30:56.708+00:00"
"3476","theory","La nuit aéronautique commence","30 min après le coucher du soleil","2025-08-29T14:54:50.905+00:00"
"3477","theory","Un vent du 225° souffle","du sud-ouest","2025-08-29T14:54:50.905+00:00"
"3483","airports","Quel est le code OACI de l’aéroport Marseille Provence","LFML","2025-08-29T19:27:08.541+00:00"
"3484","theory","Qu’est ce que le TCAS","Un système d’évitement des collisions en vol entre aéronefs","2025-08-29T19:27:08.541+00:00"
"3485","theory","À quoi correspond la V1 lors d’un décollage d’avion","La vitesse à partir de laquelle le décollage ne peut plus être interrompu en toute sécurité","2025-08-29T19:27:08.541+00:00"
"3492","theory","Parmi les dispositifs hypersustentateurs, on peut citer :","les volets de courbure et les becs de bord d'attaque","2025-08-30T08:31:19.088+00:00"
"175","history","Quel était le modèle d'avion du vol US Airways 1549 qui a amerri sur l'Hudson River en 2009 ?","Airbus A320","2024-07-30T13:30:56.708+00:00"
"3493","theory","Quelle est la hauteur minimale de survol au-dessus d’une agglomération ?","1000 ft","2025-08-30T08:38:36.055+00:00"
"3494","theory","Que signifie FEW030 dans un METAR ?","Nuages épars à 3000 ft","2025-08-30T08:38:36.055+00:00"
"154","history","1er vol du A220; mise en service; 1er vol chez AF;","2013; 2016; 2021;","2024-07-30T13:30:56.708+00:00"
"155","airline","Quel a été le dernier vol du B747 Air France ?","Mexico/Paris","2024-07-30T13:30:56.708+00:00"
"156","history","En quelle année l'A300 a effectué son premier vol ?","1972","2024-07-30T13:30:56.708+00:00"
"3495","theory","Sur une carte aéronautique, 1 minute d’arc correspond à :","1 mille nautique (NM)","2025-08-30T08:38:36.055+00:00"
"158","aircrafts","Sur Boeing, comment bouge le levier des spoilers à leur sortie ?","D'avant en arrière","2024-07-30T13:30:56.708+00:00"
"160","history","En quelle année fut produit le premier avion AIRBUS?","1972","2024-07-30T13:30:56.708+00:00"
"161","fleet","2) Quel est le dernier avion livré à Air France pour effectuer les vols moyen courrier?","A220-300","2024-07-30T13:30:56.708+00:00"
"162","theory","3) Question météorologique : une surface frontale est :","une surface de contact entre deux masses d'air différentes","2024-07-30T13:30:56.708+00:00"
"163","airline","Le premier logo de Air France appartenait à une autre compagnie, laquelle ?","Air Orient","2024-07-30T13:30:56.708+00:00"
"164","fleet","Pour la flotte mondiale de jets de transports utilisés en aviation commerciale, le taux d'accident actuel est d'environ :","10−7 accident par heure de vol","2024-07-30T13:30:56.708+00:00"
"166","airline","Laquelle de ces compagnies ne fait pas partie de l'alliance SKYTEAM","ANA","2024-07-30T13:30:56.708+00:00"
"167","theory","A partir de quelle altitude de nuage le vol AI 101 aurait pu utiliser utiliser la LNAV et la VNAV pour atterrir à JFK en 2018 ?","600 pieds","2024-07-30T13:30:56.708+00:00"
"169","fleet","Quelle est la distance maximale qu'un Airbus A350-900 d'Air France peut parcourir sans escale ?","Environ 15 000 kilomètres","2024-07-30T13:30:56.708+00:00"
"170","fleet","Quel avion possède la filiale spécialisée dans le transport de fret d'Air France ?","Boeing 777F","2024-07-30T13:30:56.708+00:00"
"171","network","En 2023, combien de destination et dans combien de pays comptait la filiale Air France ?","116 dans 77 pays","2024-07-30T13:30:56.708+00:00"
"172","history","En quelle année l'Airbus A320 a-t-il fait son premier vol ?","1987","2024-07-30T13:30:56.708+00:00"
"173","theory","Qu'est-ce que le dièdre ?","l'angle entre les ailes et un plan horizontal","2024-07-30T13:30:56.708+00:00"
"174","history","En quelle année l'arrêt de l'usage commercial du concorde a-t-il eu lieu ?","2003","2024-07-30T13:30:56.708+00:00"
"177","history","Quel est le modèle du McDonnell Douglas exploité par Air-France surnommé "Dakota" ?","DC-3","2024-07-30T13:30:56.708+00:00"
"3479","aircrafts","Quel est le surnom du Boeing 367-80?","Dash 80","2025-08-29T15:07:44.795+00:00"
"3486","airports","Quel est le nom complet de l’aéroport FRA en Allemagne ?","Flughafen Frankfurt am Main","2025-08-29T21:52:05.456+00:00"
"182","theory","La portance est...","La composante de la force aérodynamique qui est perpendiculaire à la direction du vent relatif","2024-07-30T13:30:56.709+00:00"
"3496","history","Quel est considéré comme le premier avion de transport commercial pour passagers ?","Benoist Type XIV","2025-08-30T09:50:16.49+00:00"
"192","theory","Sur un turbopropulseur","la quasi totalité de l'énergie de la turbine est utilisée pour entraîner l'hélice","2024-07-30T13:30:56.708+00:00"
"193","history","Quelle est la 1ère personne à franchir le mur du son ?","Charles Yeager","2024-07-30T13:30:56.708+00:00"
"3497","theory","À quoi servent les capteurs Pitot sur un avion ?","Mesurer la vitesse de l’avion par rapport à l’air (vitesse indiquée)","2025-08-30T09:50:16.49+00:00"
"203","theory","Lorsqu'une aile approche l'incidence de décrochage, l'écoulement des filets d'air sur l'extrados devient :","tourbillonnaire dès le bord d'attaque, les filets d'air "décollent" de la surface de l'aile","2024-07-30T13:30:56.708+00:00"
"185","history","A quelle décennie remonte la création d'Airbus?","1970","2024-09-04T13:12:30.068+00:00"
"201","theory","L'expression conventionnelle "ignorez" signifie :","considérez que ce message n'a pas été envoyé","2024-08-31T12:49:25.099+00:00"
"199","geography","Quelle est la capitale du Mali ?","Bamako","2024-08-31T10:50:32.77+00:00"
"197","theory","Une piste 22 est orientée face au ?","Sud-Ouest","2024-08-31T10:50:32.77+00:00"
"198","network","Où Transavia France prévoit d'ouvrir une base à l'automne ?","Bordeaux","2024-08-31T10:50:32.77+00:00"
"194","theory","Lors de la mise en virage, le lacet inverse est causé par :","a) l'augmentation de la traînée sur l'aile montante.","2024-08-31T10:44:29.048+00:00"
"195","theory","Le facteur de charge est le rapport :","a) de la portance sur le poids.","2024-08-31T10:44:29.048+00:00"
"196","theory","Deux points de même latitude sont nécessairement :","a) sur le même parallèle.","2024-08-31T10:44:29.048+00:00"
"190","history","En quelle année a été fondé la fédération française aéronautique ?","1929","2024-08-31T08:33:34.174+00:00"
"191","history","Combien y'a-t-il d'aéroclubs en France ?","600","2024-08-31T08:33:34.174+00:00"
"179","theory","Un moteur à pistons contenant 4 cylindres est pourvu au total de :","8 bougies d'allumage","2024-07-30T13:30:56.708+00:00"
"183","history","En 1783, le premier vol d'un ballon à air chaud est rendu possible grâce au travail des frères :","Montgolfier","2024-08-26T19:41:00.865+00:00"
"184","airports","Quel est l'IATA de l'aéroport de Séoul ?","ICN","2024-08-27T16:12:28.596+00:00"
"188","history","Qui est considéré comme le père de l'aviation moderne grâce à son invention du premier avion motorisé en 1903 ?","Orville et Wilbur Wright","2024-08-28T20:16:08.559+00:00"
"189","aircrafts","Quelle est la signification de l'appellation "NEO" donnée à la dernière famille d'Airbus A320/A330 ?","New Engine Option","2024-08-29T12:51:55.099+00:00"
"204","theory","En matière de circulation aérienne, le temps de référence est :","Le temps universel coordonné (UTC)","2024-07-30T13:30:56.708+00:00"
"205","theory","Un avion s'apprête à doubler un autre aéronef. Pour effectuer cette manoeuvre, il doit doubler:","Par la droite","2024-07-30T13:30:56.708+00:00"
"206","aircrafts","Quel est le principe de fonctionnement de l'avionique Fly-by-Wire ?","Transmission des commandes du pilote par signaux électriques et traitement informatique.","2024-07-30T13:30:56.708+00:00"
"207","history","Qui est Otto Lilienthal?","Un ingénieur allemand qui a étudié l'aérodynamique de l'aile en effectuant de nombreux vols planés.","2024-07-30T13:30:56.708+00:00"
"208","history",""Qui est Thérèse Peltier ?","La première femme pilote au monde","2024-07-30T13:30:56.708+00:00"
"3487","theory","Quel est le code transpondeur pour signaler une panne radio","7600 en mode A","2025-08-29T22:05:31.917+00:00"
"3488","history","Exploit de Joseph Vuillemin","premier homme à traverser le Sahara","2025-08-29T22:05:31.917+00:00"
"3498","theory","Quelle est la fonction principale des volets (flaps) sur les ailes d’un avion ?","Augmenter la portance lors des phases de décollage et d’atterrissage","2025-08-30T11:01:54.427+00:00"
"3499","fleet","Quel a été le premier avion long-courrier à réaction intégré dans la flotte d’Air France ?","Boeing 707","2025-08-30T11:01:54.427+00:00"
"228","airline","Sur un vol moyen courrier Air France, quelle est l’heure limite d’enregistrement pour les clients ?","40 minutes avant le départ","2024-08-31T15:20:03.869+00:00"
"229","theory","Quel est le nom du mouvement horizontal d'un avion autour de son axe vertical ?","Lacet","2024-08-31T16:39:11.529+00:00"
"230","history","En quelle année le dernier B747 a-t-il été livré?","2023","2024-08-31T20:30:54.512+00:00"
"231","aircrafts","Parmi ces avions, lequel ne fait pas partie de la flotte d'Airbus Flight Academy?","Robin DR400","2024-08-31T15:27:53.939+00:00"
"222","history","Le premier appareil civil entièrement équipé de commandes électriques est:","l’Airbus A320","2024-08-31T18:36:32.939+00:00"
"215","theory","Une piste 36 peut avoir comme orientation magnétique :","004°","2024-08-31T15:49:48.079+00:00"
"216","theory","Par définition, une orthodromie entre deux points de la surface terrestre est :","le chemin le plus court","2024-08-31T15:49:48.079+00:00"
"217","theory","Dans les basses couches de l'atmosphère, on peut considérer que la décroissance moyenne de pression avec l'altitude est de :","1 hPa par 28ft","2024-08-31T15:49:48.079+00:00"
"214","geography","Parmi ces déserts, lequel est le plus grand au monde?","Antarctique","2024-08-31T15:27:53.939+00:00"
"213","airline","Depuis quand les KD sont-ils aussi formés à Airbus Flight Academy?","2019","2024-08-31T15:27:53.939+00:00"
"211","fleet","Quel appareil n’a jamais intégré la flotte d’Air France ?","Boeing 757","2024-08-31T15:20:03.869+00:00"
"209","geography","Quelle est la capitale de l’Uruguay?","Montevideo","2024-08-31T14:29:33.737+00:00"
"232","airline","Quelles sont les compagnies fondatrices de l’alliance Skyteam ?","Aeromexico, Air France, Delta et Korean Air","2024-08-31T21:07:44.024+00:00"
"233","theory","En cas de conflit imminent avec un autre aéronef, quelle procédure doivent adopter les pilotes ?","Les pilotes doivent faire confiance aux systèmes embarqués de l'avion et exécuter les actions ordonnées par le TCAS","2024-07-30T13:30:56.709+00:00"
"3489","history","Qui a réalisé le premier vol motorisé contrôlé en 1903 ?","Les frères Wright","2025-08-30T01:51:55.248+00:00"
"3490","aircrafts","Quel est le plus grand constructeur d’avions commerciaux au monde (en termes de livraisons annuelles) ?","Airbus","2025-08-30T01:51:55.248+00:00"
"250","history","Quelle est la date du dernier vol commercial du concorde aux couleurs d’Air France?","31 mai 2003","2024-08-31T14:29:33.737+00:00"
"3506","airports","Quel est le code OACI de l’aéroport international d’Istanbul?","LTFM","2025-08-30T15:31:26.131+00:00"
"254","history","Jean Mermoz disparut au large des côtes de Dakar en 1936 à bord de quel appareil ?","La Croix du Sud","2024-09-01T09:30:57.822+00:00"
"255","geography","Parmi ces villes laquelle est la plus au sud ?","Brasilia","2024-09-01T12:43:50.956+00:00"
"256","history","Le 21 janvier 1976, les deux premiers vols commerciaux du concorde ont lieu simultanément chez Air France et British Airways, quelles sont les destinations de ces deux vols ?","AF : Paris - Rio / BA : Londres - Bahreïn","2024-07-30T13:30:56.709+00:00"
"257","geography","Dans quelle ville se situe l'aéroport Pole Caraibes (Guadeloupe) ?","Les Abymes","2024-07-30T13:30:56.708+00:00"
"259","history","Quelle est la date de création de l'entreprise aéronautique française Dassault Aviation, et quel est le nom de son fondateur ?","1929, Marcel Dassault","2024-07-30T13:30:56.708+00:00"
